ELEMENT_GLOBAL_ID,ELEMENT_NATIONAL_ID,ELEMENT_SUBNATIONAL_ID,ELCODE,Classification Level,Class,Family,Order,Phylum,Class (English),Name Category,Common Name,Scientific Name,Origin,Presence,Report Author,Report Version Date,Habitats,Provincial Status,Prov Status Change,Prov Status Review,General Status Canada,Canada Status Change,Global Rank,Global Status Change,Global Status Review,BC List,Degree of Threat,Short Term Trend,S_LONG_TERM_TREND_COM,Long Term Trend,S_LONG_TERM_TREND_COM_1,NUMBER_EOS_CD,POP_SIZE_CD,RANGE_EXTENT_CD,RANGE_EXTENT_EST,G_RANGE_COM,S_NUMBER_EOS_COM,S_NUMBER_GOOD_EOS_COM,S_NUMBER_PROT_EOS_COM,COSEWIC_CD,COSEWIC_COM,COSEWIC_DATE,SARA,SARA_DATE,SARA_COM,SARA_STS,CDCTRACK,CF_ACTION_GROUPS,CF_AG_DATE,CF_DISJUNCT,CF_FEASIBILITY,CF_NOTE,bare_sci_name,num_subspecies,Information Reason,current_date
4473,11422,18371,AAABA01020                    ,Species,Amphibia,Ascaphidae,Anura,Craniata,amphibians,Vertebrate Animal,Rocky Mountain Tailed Frog,Ascaphus montanus,1,1,"Hammerson, G.",05-May-04,,S2S3,31-Dec-16,31/12/2016,1,01-Jan-05,G4,15-May-01,01-Aug-16,Blue,B = High,U = Unknown,,U = Unknown,,C = 21 - 80,"EF = 2,500 - 100,000 individuals","D = 1,000-5,000 square km",3300 km,"Extreme southeastern British Columbia south through western Montana to extreme southeastern Washington, northeastern Oregon, and south-central Idaho (Leonard et al. 1993, Nielson et al. 2001, Stebbins 2003). Elevational range in Oregon mainly 1,100-2,100 m (occurrence data); ranges to at least 2,134 m in the Wallowa Mountains in northeastern Oregon (Leonard et al. 1993). Occurs at elevations as low as 550 m or less in British Columbia.","Tailed frogs found in the Flathead watershed occur in the Macdonald Range and are found east of Inverted Ridge, west of Flathead River, and south of the Leslie/Twentynine-Mile Creek divide. This range occupies an area of about 300 km2, extending 21 km north from the international border and is a continuation of the distribution of tailed frogs in the Whitefish Ranges, Montana. Occupied drainages include Couldrey, Burnham, Cabin, Storm, Leslie and the North Fork of Bighorn (Dupuis and Friele 2004). Recent (2015) eDNA analysis provides evidence that Rocky Mountain Tailed frogs occur in two previously undocumented drainages (Elder Creek and upper Wigwam River) (Adams and Hobbs 2015).�<br /><br />The range of this species in the Yahk watershed is approximately half (150 km square) of that in the Flathead watershed and includes the Screw, Boyd, Sprucetree, Malpass, Norge and Upper Yahk drainages. Recent (2016), eDNA analysis has provided evidence that Rocky Mountain Tailed frogs occur in two previously undocumented drainages (Tepee Creek and Elmer Creek) (Adams and Hobbs 2016).�",<br />�,"There are no legally protected areas such as national/provincial parks, ecological reserves, or Indian Reserves in the Flathead or Yahk areas (Dupuis and Friele 2005). However, 19 Wildlife Habitat Areas (a total of 1239 ha) have been established in the smaller streams. These WHAs protect all known breeding and adjacent foraging stream habitats by the 30-m reserve zone within the WHA. The WHA boundaries were created to extend to the top of main perennial headwaters above the natal areas because juveniles and adults congregate in these locations. If all of the non-harvestable land base (NHLB) is considered (tailed frog WHA reserve zones, riparian reserve zones, old growth and mature management areas, Wildlife Tree Patches and Ungulate winter ranges) then 68% and 63% of tailed frog habitat is protected in the Yahk and Flathead River watersheds, respectively. Integrated Management areas (WHA management zones, riparian management zones and Ungulate winter ranges) provide partial protection for an additional 10% and 4% of tailed frog non-breeding habitat in the Yahk and Flathead River watersheds, respectively. Overall the NHLB protects all aquatic breeding reaches; all potential valley bottom movement corridors and a quarter to a third of small headwater tributaries above natal zones (Dupuis and Friele 2005).",T,,30-Nov-13,1,21-Feb-18,,T,Y  ,"Status Rpt, Wildlife Act, COSEWIC, Plan, Hab Protect, Hab Restore, Species Mgmt, Private Land",18-Aug-09,N,M,,Ascaphus montanus,1,,26/03/2021
4649,11598,18547,AAABA01010                    ,Species,Amphibia,Ascaphidae,Anura,Craniata,amphibians,Vertebrate Animal,Coastal Tailed Frog,Ascaphus truei,1,1,"Hammerson, G.",05-May-04,,S4,31-Dec-16,31/12/2016,3,01-Jan-05,G4,05-Oct-01,02-Feb-16,Yellow,B = High,U = Unknown,,U = Unknown,,D = 81 - 300,"H = >1,000,000 individuals","F = 20,000-200,000 square km","166,000 km2","Cascades and the Pacific Coast from southern British Columbia south to northwestern California (Nielson et al. 2001, Stebbins 2003).","Based on previously mapped Element Occurrences and recent data, in 2016 the CDC calculated the number of occurrences to be approximatly100. New locations continue to be detected as a result of eDNA technology. For example, 28 new occurrence records were detected in the Bridge and Seton Watersheds in 2016 (Hobbs 2017)<br /><br />Prior to the suveys in 2000 and 2001 which resulted in Tailed Frog adults and/or larvae being found at 72 of the 153 widely scattered sites only six locations were known in the western portion of the Merritt Forest District (Gyug 2001). Earlier surveys have found Tailed Frogs in 40% of the 63 surveyed creeks on the south coast, 38% of the 99 creeks on the mid-coast and 15% of the 85 creeks on the north coast (Dupuis and Bunnell 1997). More creeks with Tailed Frogs present were found during 2007 surveys on the mid-coast (V. Michelfelder, pers. comm. 2007).",,"From COSEWIC 2011h:�Parks protect approximately 15% of the Coastal Tailed Frog�s range in British Columbia; approximately 5% of known occurrences are within protected areas (provincial parks and conservancy areas). Provincial Special Management Areas provide protection to additional areas. A total of 40 Wildlife Habitat Areas, established for species at risk listed under the Forest and Range Practices Act, have been approved for the Coastal Tailed Frog and are in various stages of implementation.<br /><br />Prior to COSEWIC 2011h: Many populations are probably protected in large protected areas such as Garibaldi, Manning, and Clendenning Provincial Parks, as well as the Kitlope/Fiordland protected area system. Smaller parks such as Golden Ears Provincial Park and Lynn Headwaters Regional Park also offer some protection as well as the reserve along Ascaphus Creek in the Kalum Forest District near Terrace. By 2006, at least 35 Wildlife Habitat Areas had been established to help protect this species; 4 more were established in 2010.",SC,,25-Nov-11,1,05-Jun-03,,SC,Y  ,"Monitor Trend, Status Rpt, COSEWIC, Plan, Hab Protect, Private Land",18-Aug-09,N,H,,Ascaphus truei,1,,26/03/2021
4740,11689,18638,AAABF02030                    ,Species,Amphibia,Scaphiopodidae,Anura,Craniata,amphibians,Vertebrate Animal,Great Basin Spadefoot,Spea intermontana,1,1,"Hammerson, G.",31-Dec-02,,S3,01-Jun-96,30/03/2018,1,01-Jan-05,G5,03-Dec-01,02-Aug-16,Blue,BC = High - medium,F = Decline of 10-30%,The quantity and quality of wetland and grassland habitats have greatly declined since European settlement (COSEWIC 2007b).,U = Unknown,The quantity and quality of wetland and grassland habitats have greatly declined since European settlement (COSEWIC 2007b).,D = 81 - 300,"F = 10,000 - 100,000 individuals","F = 20,000-200,000 square km","37,500","Southern British Columbia (Cannings 1999) southward through central and eastern Washington and Oregon, southern Idaho, eastern California, Nevada, Utah, Wyoming, and northwestern Colorado to northwestern Arizona (Hall 1998). From edge of Cascade-Sierra axis east to the Rockies. To elevations of about 9,200 ft (Stebbins 1985).","As of April 2018, the B.C. Conservation Data Centre has 102 occurrences mapped. Note that COSEWIC (2007b) states that there are about 235 sites, but this is based on a separation distance of 500m whereas the NatureServe specifications used by the B.C. Conservation Data Centre require a separation distance between sites of one kilometre and five kilometres, in unsuitable and suitable habitat respectively.",,"Most of the occurrences and suitable habitat for the Great Basin Spadefoot is unprotected. Close to 70% of the species' range in British Columbia is either privately owned or within aboriginal lands (COSEWIC 2007b).<br />A large population at the north end of Osoyoos Lake is partially protected by Haynes Lease Ecological Reserve and South Okanagan Wildlife Management Area. Other protected areas in the south include properties acquired by Nature Trust of BC such as that at White Lake Ranch west of Okanagan Falls that includes several smaller populations; White Lake Grasslands Protected Area which is contiguous with other protected areas around Vaseux Lake; and South Okanagan Grasslands Protected Area. These are protected from development but livestock grazing occurs at both the White Lake and South Okanagan Grasslands. A large population at the Osoyoos sewage lagoon however, remains unprotected and much of the surrounding terrestrial habitat has been developed. The Lac du Bois Grasslands Protected Area near Kamloops provides protection for another large population. In the South Cariboo, all recent records have been found on Crown lands that are under grazing licenses (COSEWIC 2007b).<br />This species is designated as ""Identified Wildlife"" under the BC Forest and Range Practices Act. As of 2018, there are a total of 21 Wildlife Habitat Areas throughout the range.",T,,30-Nov-19,1,05-Jun-03,,T,Y  ,"Monitor Trend, Status Rpt, Plan, COSEWIC, Private Land, Hab Restore, Hab Protect",12-Mar-10,U,H,,Spea intermontana,1,,26/03/2021
566,7515,14464,AAAAD12270                    ,Species,Amphibia,Plethodontidae,Caudata,Craniata,amphibians,Vertebrate Animal,Coeur d'Alene Salamander,Plethodon idahoensis,1,1,"Hammerson, G.",22-Feb-96,"Occupies steep gradient creeks, waterfall splash zones, rock walls or caves with seepages, deep, wet talus, and avalanche paths where there is fissured bedrock associated with moisture. They retreat underground to interstitial spaces in winter (to escape cold) and summer (if excessively hot and dry). Species is nocturnal, so during the day they may also be in subterranean habitat or on the surface under moist cover objects.",S4,02-Jan-08,31/12/2016,3,01-Jan-05,G4,13-Feb-02,10-May-16,Yellow,D = Low,G = Relatively Stable (<=10% change),"It is possible that numbers of Coeur d'Alene salamanders have declined over the long term as humans have built roads along the bases of steep slopes, blown up habitat, built bridges and disrupted water flows",U = Unknown,"It is possible that numbers of Coeur d'Alene salamanders have declined over the long term as humans have built roads along the bases of steep slopes, blown up habitat, built bridges and disrupted water flows",D = 81 - 300,"EF = 2,500 - 100,000 individuals","E = 5,000-20,000 square km",,"The Coeur d'Alene Salamander is a remnant of a once diverse plethodontid salamander fauna in the central Rocky Mountains that was likely reduced by climatic changes over the last 10-14 million years (Nussbaum et al. 1983, Tihen and Wake 1981). The species maintains a disjunct distribution at elevations up to 1,524 m (5,000 ft) in northern Idaho, western Montana, and southeastern British Columbia (Wilson et al. 1997; Wilson and Ohanjanian 2002). The North Fork of the Clearwater and the St. Joe drainages in Idaho, and the lower Clark Fork and Kootenai Rivers in Montana, comprise the core of the species distribution (Wilson and Simon 1987, Genter et al. 1988, Groves 1988). The Selway River drainage comprises the southern limit of the known range in Idaho (Wilson 1990) and Copper Creek and the Moyie River drainage the northern limit (Wilson et al. 1989). In Montana, the southern limit of known distribution is Lake Como Falls in the Bitterroot River drainage (Maxell 2002) and the northernmost population is along the South Fork of the Yaak River (Wilson and Simon 1987; Maxell et al. 2003). Coeur d'Alene Salamanders are currently known from about 15 locations in British Columbia, from 95 km north of Revelstoke to a cluster of locations mostly along the southeast corner of Kootenay Lake (Holmberg et al. 1984; Orchard 1990; Charland 1992; Wilson and Ohanjanian 2002).<br /><br />Although not all localities of occurrence have been identified, the southern, eastern and western edges of the distribution are likely limited by lack of moisture, discontinuous geological formations, and high temperatures (Wilson and Larsen 1998).  The species was probably eliminated from most of British Columbia during the last ice age. The northern limit of current distribution probably represents the extent of successful recolonization of suitable habitat (Lynch 1984).<br />","As of 2007, known at 74 sites on 56 distinct watercourses (Ohanjanian and Teske 1996; Ohanjanian 1997, 1997b, 1998, 1999, 2000, 2001, 2001b; Dulisse 1999; Dykstra 2003; Ohanjanian and Beaucher 2000; Adama and Ohanjanian 2005; D'Eon and Larson 2007a,b; L. Larson, pers. comm. 2007; COSEWIC 2007c). Additional metapopulations likely occur on many of these watercourses where fissured bedrock or wet talus habitat is available upslope or downslope.",,Thirty Wildlife Habitat Areas have been established under the B.C. Forest and Range Practices Act (B.C. Ministry of Environment 2015i).,SC,,30-Nov-07,1,05-Jun-03,,SC,Y  ,"Monitor Trend, Status Rpt, Plan",27-Feb-09,,,,Plethodon idahoensis,1,,26/03/2021
4519,11468,18417,AAAAH01040                    ,Species,Amphibia,Dicamptodontidae,Caudata,Craniata,amphibians,Vertebrate Animal,Coastal Giant Salamander,Dicamptodon tenebrosus,1,1,"Hammerson, G.",06-May-05,,S2S3,31-Dec-16,31/12/2016,1,01-Jan-05,G5,17-Oct-01,05-Nov-03,Blue,B = High,FG = Decline of <30% to relatively stable,,U = Unknown,,C = 21 - 80,"F = 10,000 - 100,000 individuals","C = 250-1,000 square km",760,"Southern British Columbia (Chilliwack River drainage) south through western Washington and western Oregon to northwestern California (Good 1989; Farr, 1989 COSEWIC report; Petranka 1998).","""Based on data compiled in 2010 this species occupies approximately 75 individual streams and tributaries within about 15 stream systems or 4<sup>th</sup> order watersheds. During 2011 and 2012 surveys, additional sites where the species was present were identified"" (COSEWIC 2014k). As of 2013, the Conservation Data Centre has the locations grouped into 26 mapped element occurrences.",,"""As of 2010, 25% of the total known occupied stream length is within designated Wildlife Habitat Areas established for the species under the Identified Wildlife Management Strategy and receives a degree of protection through associated General Wildlife Measures"" (COSEWIC 2014k).",T,,01-May-14,1,05-Jun-03,,T,Y  ,"Status Rpt, Wildlife Act, COSEWIC, Plan, Hab Protect, Hab Restore, Species Mgmt, Private Land",12-Mar-10,N,H,,Dicamptodon tenebrosus,1,,26/03/2021
1454,8403,15352,AAABH01180                    ,Species,Amphibia,Ranidae,Anura,Craniata,amphibians,Vertebrate Animal,Oregon Spotted Frog,Rana pretiosa,1,1,"Hammerson, G.",07-Jul-11,,S1,01-Jun-96,31/12/2016,1,01-Jan-05,G2,26-Nov-01,10-Oct-13,Red,A = Very high,EF = Decline of 10-50%,,U = Unknown,,AB = 1 - 20,"C = 250 - 1,000 individuals","C = 250-1,000 square km",303,"Range extends from southwestern British Columbia south through the eastern side of the Puget/Willamette Valley trough and the Columbia River gorge in south-central Washington to the Cascades Range at least to the Klamath Valley in Oregon (and at least formerly to northeastern California); the species is considered extirpated from the Willamette Valley, northeastern California, and much of its range in western Washington (Hayes 1997, Pearl and Hayes 2005). More than two-thirds of known extant populations are along the crest and eastern slope of the Cascade Range in central Oregon (Hayes 1997, Cushman and Pearl 2007, Pearl et al. 2009). Elevational range extends from near sea level in the Puget Trough lowlands in Washington to around 1,500 meters in the Oregon Cascades and locations in western Oregon (Dunlap 1955, Hayes 1997, McAllister and Leonard 1997). At the northern range limits, occurrences are unlikely to occur at elevations above 200 meters (Pearl and Hayes 2004).","This species is extant at four sites all within the Fraser River Basin in British Columbia: Maria Slough, Mountain Slough, Morris Valley and McLellan Creek. Four populations are now extirpated, Aldergrove (K. Lensky, pers. comm. 2017), Sumas Prairie, Nicomen Island, and Campbell Valley Regional Park in Langley. The species has not been found at the latter three sites during 1996-1997, 2000, or 2010 surveys (COSEWIC 2011e).","From COSEWIC (2011e): The current Canadian populations appear to have small effective population sizes, and inbreeding is probably occurring, although its extent and effects on viability are unknown. Spatial separation between sites/populations is significant. The viability of the populations is in doubt for at least two of the populations (Aldergrove and Maria Slough). None of the populations may remain viable over the long term (COSEWIC 2011e). As of 2017, the Aldergrove site is considered extirpated (K. Lensky, pers. comm. 2017).<br /><br />Prior to COSEWIC (2011e): Two of the three historically occupied (extinct) sites have been structurally compromised by infilling for agricultural use (Sumas Lake, Abbotsford and Nicomen Island, Mission) (Haycock 2000). The physical structure of the third historically occupied site (Campbell Valley Regional Park, Langley) has been altered by park infrastructure and natural succession (Haycock 2000, Haycock 2000b). Two of the three occupied (extant) sites have good viability (Mountain Slough, Aggasiz and Maria Slough, Aggasiz) although these sites may be altered in the future by natural succession caused by the rapid growth of the exotic reed canary grass (<i>Phalaris arundinacae</i>). The third occupied site (Maintenance Detachment Aldergrove, Langley) has poor viability and is rapidly declining due to a combination of hydrological dysfunction, exotic plants and animals and succession. Climatic conditions, such as extreme drought in the summer of 2002 and 2003, may also be a factor.",,E,,06-May-11,1,05-Jun-03,,E,Y  ,"Status Rpt, Wildlife Act, COSEWIC, Plan, Hab Protect, Hab Restore, Private Land, Species Mgmt",18-Aug-09,D1,M,,Rana pretiosa,1,,26/03/2021
4361,11310,18259,AAAAD01060                    ,Species,Amphibia,Plethodontidae,Caudata,Craniata,amphibians,Vertebrate Animal,Wandering Salamander,Aneides vagrans,1,1,"Hammerson, G.",10-Nov-03,,S3,30-Dec-16,30/12/2016,4,01-Jan-05,G4,28-Feb-00,23-Mar-05,Blue,B = High,U = Unknown,,U = Unknown,,D = 81 - 300,"F = 10,000 - 100,000 individuals","F = 20,000-200,000 square km",,"Northern Del Norte and Siskiyou counties, California, south through extreme western Trinity, Humboldt, and Mendocino counties in an increasingly narrow, forested coastal strip to the vicinity of Stewart's Point, northwestern Sonoma County, California (Wake and Jackman, in Jackman 1998). Widespread on Vancouver Island and neighboring islands in British Columbia, and also has been found on the mainland, but all of these populations are believed to be derived ultimately from human-mediated introductions that occurred in conjunction with shipments of tan oak bark from California (Wake and Jackman, in Jackman 1998). The widespread occurrence of the species on Vancouver Island, including remote areas, lends support to an alternative hypothesis of dispersal from California during post-glacial times via natural log-rafting on north-flowing ocean currents (COSEWIC 2014).","Many occurrences throughout Vancouver Island and the smaller, surrounding islands. There is one record north of Sechelt on the mainland coast. There are likely many more occurrences due to low detectability and incomplete survey effort (COSEWIC 2014l).�",,Most of the range and occurrences are on unprotected provincial or private forestry lands. Approximately 9% of the species� range and 17% of the known records on Vancouver Island are within protected areas (COSEWIC 2014l).,SC,,01-May-14,1,21-Feb-18,,SC,Y  ,"Monitor Trend, Status Rpt, Plan",25-Feb-10,D1,M,,Aneides vagrans,1,,26/03/2021
4881,11830,18779,AAABH01290                    ,Species,Amphibia,Ranidae,Anura,Craniata,amphibians,Vertebrate Animal,Columbia Spotted Frog,Rana luteiventris,1,1,"Hammerson, G.",05-Jan-04,,S5?,31-Dec-16,31/12/2016,4,01-Jan-05,G4,21-Nov-01,09-Jan-08,Yellow,U = Unknown,G = Relatively Stable (<=10% change),,U = Unknown,,E = > 300,U = Unknown,"G = 200,000-2,500,000 square km",,"Extreme southeastern Alaska, southwestern Yukon (Slough 2002), northern British Columbia, and western Alberta south through Washington east of the Cascades, eastern Oregon, Idaho, and western Montana to Nevada (disjunct, Mary's, Reese, and  Owyhee river systems), southwestern Idaho (disjunct), Utah (disjunct, Wasatch Mountains and west desert), and western and  north-central (disjunct) Wyoming (Green et al. 1996, 1997; Stebbins 2003). Disjunct populations occur on isolated mountains and in arid-land springs. Elevational range extends from near sea level to about 3,048 meters (10,000 feet) (Stebbins 2003).<br><br>The Wasatch Front population (<i>R. luteiventris</i> pop. 1) occurs in isolated springs or riparian wetlands in Juab, Sanpete, Summit, Utah, Tooele, and Wasatch counties; extirpated from the Salt Lake Valley and tributaries to the Jordan River and Great Salt  Lake (USFWS 2002). Currently, there are seven localized populations that comprise the Wasatch Front population or DPS. The largest known concentration is currently in the Heber Valley; the remaining six locations are Jordanelle/Francis, Springville Hatchery, Holladay Springs, Mona Springs Complex/Burraston Ponds, Fairview, and Vernon (USFWS 2002).<br><br>The West Desert (Bonneville) population (<i>R. luteiventris</i> pop. 2) occurs in eastern Nevada and western Utah, mainly in two large spring complexes, with several additional concentrations in smaller nearby springs; it is extiprated from the northern portions of the historical range.<br><br>The Great Basin population (<i>R. luteiventris</i> pop. 3) occurs in southwestern Idaho, southeastern Oregon, and Nevada; it includes all Nevada populations of <i>R. luteiventris</i> except a small population on the eastern border of White Pine County, which is included in the West Desert population.",Represented by many and/or large occurrences throughout most of the range (Nussbaum et al. 1983).,,,NAR,,01-May-00,,,,,N  ,"Monitor Trend, Status Rpt, Plan, Hab Restore, Hab Protect, Species Mgmt, Private Land",18-Aug-09,,M,,Rana luteiventris,1,,26/03/2021
5688,12637,19586,AAABH01021                    ,Species,Amphibia,Ranidae,Anura,Craniata,amphibians,Vertebrate Animal,Northern Red-legged Frog,Rana aurora,1,1,"Hammerson, G.",25-May-08,"Red-legged Frogs have been observed in a variety of aquatic and terrestrial habitats. They breed in shallow, littoral zones of lakes, temporary and permanent pools and wetlands, and bogs and fens regardles of size but in close proximity to forest (i.e., toads may be found in all lacustrine and palustrine habitats); tadpoles associate with benthic habitats. Survival was higher in exclosures in temporary versus permanent wetlands in Washington (Adams 2000). Lotic habitats with little to no flow may be utilized by Red-legged Frogs, and riparian areas are important for newly metamorphosed froglets. Outside of the breeding season, Red-legged Frogs primarlily utilize all forest and woodland types, but individuals are occasionally found in more open and rural areas such as shrubland/chaparral, cropland/hedgerow, old fields, and suburban/orchard. Little is know about the habitat requirements of Red-legged Frogs during hibernation, but one study found frogs overwintering in terrestrial or aquatic habitats in the Lower Mainland (Licht 1969), and one radio-tracked frog on Vancouver Island was found overwintering in a stream bank (Chan-McLeod, pers. comm.). In California, Red-legged Frogs estivate in burrows and moist leaf litter (USFWS 1994). Red-legged Frogs are most common at elevations below 500 m, with low slopes, and containing moist, mature/old forest in some areas.",S3,31-Dec-16,31/12/2016,3,01-Jan-05,G4,01-Nov-96,19-May-15,Blue,B = High,F = Decline of 10-30%,"""Long-term population monitoring has been initiated but has not been carried out for sufficiently long to assess trends."" (COSEWIC 2015c). Although the extent of the native range likely remains the same, populations have probably declined in the Lower Mainland and on south-eastern Vancouver Island as a result of the historic and continued loss of natural habitat from rural and urban development and forestry (Ovaska and Sopuck 2004).",U = Unknown,"""Long-term population monitoring has been initiated but has not been carried out for sufficiently long to assess trends."" (COSEWIC 2015c). Although the extent of the native range likely remains the same, populations have probably declined in the Lower Mainland and on south-eastern Vancouver Island as a result of the historic and continued loss of natural habitat from rural and urban development and forestry (Ovaska and Sopuck 2004).",DE = 81 to >300,"G = 100,000 - 1,000,000 individuals","F = 20,000-200,000 square km",,"Range extends from southwestern British Columbia, including Vancouver Island in Canada, south along the coast of the United States (primarily west of Cascade-Sierran crest), to northwestern California (Shaffer et al. 2004). The species has been introduced and is well established and widely distributed on Graham Island, Queen Charlotte Islands (Haida Gwaii), British Columbia; it is unclear whether the species is native there or introduced many years ago (Ovaska et al. 2002). <i>Rana aurora</i> also is introduced and established on Chichagof Island, Alaska; the source of the frogs was Oregon (Hodge 2004).","Currently (2016) the B.C. Conservation Data centre has 141 mapped occurrences; however, this is very likely an underestimate.","Many populations probably have good viability currently, but they are easily isolated so that their long-term status is difficult to predict. Populations are isolated with little chance of rescue effect, and human population growth trends in the southwest suggest continued habitat loss and fragmentation (Ovaska and Sopuck 2004).","A number of the known sites are in parks. However, a large proportion of parks within Greater Vancouver are small, and habitat degradation and fragmentation are a concern (Waye 1999). On Vancouver Island, where the majority of the population is currently found, populations within large provincial parks and reserves such as Strathcona, Goldstream, and Clayoquot Sound are probably secure, but rescue effects are limited. Parks likely protect EOs, but the continued practice of fish stocking in Provincial parks could negatively impact Red-legged Frog populations (Wind, in progress). Ovaska and Sopuck (2004) state that 13% of Vancouver Island, 3.6% of the Sunshine Coast is protected from this, it is estimated that less than 10% of the species' Canadian range is protected and managed effectively.",SC,,01-May-15,1,12-Jan-05,,SC,Y  ,"Monitor Trend, Status Rpt, COSEWIC, Plan, Hab Protect, Species Mgmt, Private Land, Hab Restore",15-Mar-10,D2,H,,Rana aurora,1,,26/03/2021
2656,9605,16554,AAABB01030                    ,Species,Amphibia,Bufonidae,Anura,Craniata,amphibians,Vertebrate Animal,Western Toad,Anaxyrus boreas,1,1,"Hammerson, G.",26-Jan-10,"Western Toads have been observed in a variety of aquatic and terrestrial habitats. They breed in shallow, littoral zones of lakes, temporary and permanent pools and wetlands, bogs and fens, and roadside ditches (i.e., toads may be found in all lacustrine and palustrine habitats); tadpoles associate with benthic habitats. In northern BC and the Yukon, Western Toads have been observed using geothermal springs and surrounding tufa/soils for breeding and hibernacula (Slough 2004). In addition, like many amphibian species, toads utilize riparian areas. Lotic habitats with little to no flow are suitable for toads. Small, moist depressions may be used for reydration (toads can absorb water through their 'pelvic patch') (Green and Campbell 1984; Davis 2000). Toads utilize a variety of terrestrial habitats in BC, including all forest and woodland types, shrubland/chaparral, savanna, cropland/hedgerow, grassland/herbaceous cover, old fields, and suburban/orchard. Hibernacula are located in areas with loose soils and burrows. Toads have been observed using downed wood for cover in recent clearcuts (E. Wind, pers. comm.). Western Toads one of few amphibians found at high elevations (> 3,000 m). Climate change may impact western toads in northern regions of BC where populations are dependent on areas of high snow accumulation, that lack permafrost, to survive through winter (Cook 1977).",S4,31-Dec-16,31/12/2016,3,01-Jan-05,G4,15-Oct-01,03-Jan-08,Yellow,BC = High - medium,F = Decline of 10-30%,No long-term monitoring has taken place.,U = Unknown,No long-term monitoring has taken place.,E = > 300,"G = 100,000 - 1,000,000 individuals","G = 200,000-2,500,000 square km",,"The range extends along the Pacific Coast from southern Alaska (Wiedmer and Hodge 1996) to Baja California, and eastward through the Rocky Mountains to west-central Alberta, Montana (Werner et al. 2004), Wyoming (Baxter and Stone 1985), Utah (Ross et al. 1995, Thompson et al. 2004), Colorado (Hammerson 1999), and (formerly) northern New Mexico (Degenhardt et al. 1996). The species is absent from most of the desert Southwest (Stebbins 2003). Elevational range extends from sea level to more than 11,000 feet (3.355 meters) in some areas in the Rocky Mountains.",The species is wide-ranging in BC; more than 700 locality records were reported in Wind and Dupuis (2002) for BC.,"There is some uncertainty regarding the viability of this species because EO's have not been mapped or ranked, few inventories and no long-term monitoring have taken place, and population declines have been observed in some areas. The species can appear very common or abundant due to the mass metamorph groups that are encountered in late summer, but adults and breeding sites may be rare (i.e., patchy distribution) (Wind and Dupuis 2002; Slough 2004; E. Wind, pers. comm.). As well, populations in the Lower Mainland, Vancouver Island, and in the U.S.have declined or been extirpated, even in pristine areas where declines may be difficult to detect (Wind and Dupuis 2002).","Several large Provincial and National parks occur within the range of the Western Toad in BC; e.g., Tweedsmuir, Wells Gray, Manning, and Strathcona Provincial Parks, and the Rocky Mountain National Parks. However, because the cause of the toad declines remain unknown, the protection of land alone may not protect the species from the effects of disease, climate change, etc. For example, declines have been observed in a national park in AB (Taylor and Smith 2003). The continued practice of fish stocking in BC's Provincial parks could negatively impact toad populations, especially as it pertains to disease issues in amphibians and toads in particular (Wind, in review).",SC,,30-Nov-12,1,13-Jun-18,Calling and Non-calling Populations,SC,N  ,"Monitor Trend, Status Rpt, Plan, Hab Protect, Hab Restore, Private Land, Species Mgmt",18-Aug-09,,M,,Anaxyrus boreas,1,,26/03/2021
